"files","evaluationSeconds","snapshotSeconds","manifestReadSeconds","fileScanSeconds","seconds","tasksOnHit"
"142167","3.9179231","2.5277484","0.5966676","1.838349","6.4461191","0"
"142167","3.8976109","2.5474562","0.5830408","1.8769573999999998","6.4454865","0"
"142167","3.8823319","2.5204573","0.5888205","1.8382959","6.403206","0"
