"scenario","iteration","seconds","exitCode"
"warmup","0","19.7591016","0"
"stock-no-restore-m8","1","19.967323","0"
"stock-no-restore-m8","2","19.6093046","0"
"stock-no-restore-m8","3","21.3785854","0"
"evaluation-only-not-a-build","1","4.0798162","0"
"evaluation-only-not-a-build","2","4.1183083","0"
"evaluation-only-not-a-build","3","4.1085648","0"
"experimental-gate","1","6.7570912","0"
"experimental-gate","2","6.7119356","0"
"experimental-gate","3","6.6387935","0"
