"scenario","route","variant","iteration","seconds","exitCode"
"07-wpf","solution","stock","1","1.2389067","0"
"07-wpf","solution","safe","1","1.2402569","0"
"07-wpf","solution","safe","2","1.2341517","0"
"07-wpf","solution","stock","2","1.250602","0"
"07-wpf","solution","stock","3","1.2533179","0"
"07-wpf","solution","safe","3","1.2486525","0"
"07-wpf","solution","safe","4","1.2612996","0"
"07-wpf","solution","stock","4","1.276157","0"
"07-wpf","solution","stock","5","1.2815629","0"
"07-wpf","solution","safe","5","1.2893371","0"
"08-winforms","project","stock","1","1.2578023","0"
"08-winforms","project","safe","1","1.2673284","0"
"08-winforms","project","safe","2","1.2800649","0"
"08-winforms","project","stock","2","1.2093805","0"
"08-winforms","project","stock","3","1.1629318","0"
"08-winforms","project","safe","3","1.168943","0"
"08-winforms","project","safe","4","1.1584884","0"
"08-winforms","project","stock","4","1.1671276","0"
"08-winforms","project","stock","5","1.1835183","0"
"08-winforms","project","safe","5","1.1872749","0"
"08-winforms","solution","stock","1","1.2293164","0"
"08-winforms","solution","safe","1","1.2282457","0"
"08-winforms","solution","safe","2","1.2267992","0"
"08-winforms","solution","stock","2","1.2517956","0"
"08-winforms","solution","stock","3","1.2663075","0"
"08-winforms","solution","safe","3","1.2290937","0"
"08-winforms","solution","safe","4","1.2396595","0"
"08-winforms","solution","stock","4","1.2315931","0"
"08-winforms","solution","stock","5","1.246845","0"
"08-winforms","solution","safe","5","1.2252764","0"
"09-net472","project","stock","1","1.040639","0"
"09-net472","project","safe","1","1.0473834","0"
"09-net472","project","safe","2","1.0514934","0"
"09-net472","project","stock","2","1.0570901","0"
"09-net472","project","stock","3","1.0584377","0"
"09-net472","project","safe","3","1.0434714","0"
"09-net472","project","safe","4","1.0397943","0"
"09-net472","project","stock","4","1.0403201","0"
"09-net472","project","stock","5","1.04982","0"
"09-net472","project","safe","5","1.035088","0"
"09-net472","solution","stock","1","1.1118323","0"
"09-net472","solution","safe","1","1.1085213","0"
"09-net472","solution","safe","2","1.1042581","0"
"09-net472","solution","stock","2","1.1065355","0"
"09-net472","solution","stock","3","1.1009878","0"
"09-net472","solution","safe","3","1.1103899","0"
"09-net472","solution","safe","4","1.1943134","0"
"09-net472","solution","stock","4","1.1237294","0"
"09-net472","solution","stock","5","1.1120778","0"
"09-net472","solution","safe","5","1.1018621","0"
"10-orchard-cms","project","stock","1","19.9298962","0"
"10-orchard-cms","project","safe","1","19.6131811","0"
"10-orchard-cms","project","safe","2","19.7010916","0"
"10-orchard-cms","project","stock","2","22.5263864","0"
"10-orchard-cms","project","stock","3","20.775362","0"
"10-orchard-cms","project","safe","3","19.346921","0"
"10-orchard-cms","project","safe","4","21.0565287","0"
"10-orchard-cms","project","stock","4","20.9240357","0"
"10-orchard-cms","project","stock","5","20.3758569","0"
"10-orchard-cms","project","safe","5","20.0210876","0"
